Input 1,Input 2,Objective 1,Objective 2
-0.53,-6.28,-5.9991,69.08840000000002
9.54,2.24,93.25159999999998,-9.482399999999998
7.5,2.23,58.48,-7.4471
0.01,-4.64,-4.6399,44.0796
-0.07,-5.42,-5.4151,55.1264
6.32,2.08,42.022400000000005,-6.3136
-0.02,-3.6,-3.5996,31.379999999999995
7.28,1.84,54.83840000000001,-7.2544
-0.22,-5.13,-5.0816,51.0569
5.72,1.92,34.6384,-5.7136
5.06,2.06,27.663599999999995,-5.0564
0.02,-3.08,-3.0796,25.7864
5.34,2.03,30.5456,-5.3391
0.07,-2.52,-2.5151,20.360399999999995
4.72,1.81,24.088399999999996,-4.6838999999999995
0.19,-0.5,-0.4639,6.06
5.68,2.12,34.3824,-5.6655999999999995
-0.05,-3.27,-3.2675,27.822899999999997
-0.03,-3.42,-3.4191,29.4064
2.86,1.86,10.039599999999998,-2.8404
0.16,0.02,0.0456,3.7603999999999997
0.11,-2.0,-1.9879,15.89
-0.01,-2.26,-2.2598999999999996,18.1576
0.14,-1.23,-1.2104,10.2929
0.12,-2.76,-2.7455999999999996,22.537599999999998
0.19,-1.78,-1.7439,14.098400000000002
0.04,-1.51,-1.5084,12.2801
5.19,2.07,29.006100000000004,-5.1851
0.12,0.62,0.6344,1.7843999999999998
0.24,-0.66,-0.6024,6.8356
3.62,1.94,15.0444,-3.6164
0.04,0.17,0.1716,3.3089000000000004
0.14,-1.04,-1.0204,9.1016
0.19,-0.93,-0.8939,8.394900000000002
1.27,1.62,3.2329,-1.1256000000000002
0.12,-1.41,-1.3956,11.508100000000002
2.6,1.8,8.56,-2.56
3.89,1.99,17.1221,-3.8899
0.03,-3.35,-3.3491,28.592499999999994
0.72,1.35,1.8684,-0.2975000000000001
-0.08,-2.4,-2.3935999999999997,19.44
2.28,1.8,6.998399999999999,-2.2399999999999998
0.11,-2.93,-2.9179000000000004,24.194899999999997
4.42,1.92,21.456400000000002,-4.4136
-0.12,-1.8,-1.7856,14.559999999999999
4.56,1.98,22.7736,-4.5596
0.14,-1.96,-1.9404,15.541599999999999
1.94,1.71,5.473599999999999,-1.8558999999999999
3.56,1.98,14.6536,-3.5596
4.29,1.89,20.2941,-4.2779
3.41,1.88,13.508100000000002,-3.3956
4.0,1.86,17.86,-3.9804
5.32,2.08,30.382400000000004,-5.3136
1.59,1.73,4.258100000000001,-1.5171000000000001
3.11,1.92,11.592099999999999,-3.1035999999999997
0.98,1.72,2.6803999999999997,-0.9016
-0.02,-2.88,-2.8796,23.8344
0.01,-2.8,-2.7998999999999996,23.029999999999998
2.35,1.82,7.342500000000001,-2.3176
2.53,1.86,8.2609,-2.5103999999999997
1.94,1.71,5.473599999999999,-1.8558999999999999
1.64,1.76,4.449599999999999,-1.5823999999999998
-0.02,-2.34,-2.3396,18.8556
4.62,1.81,23.1544,-4.5839
4.36,1.97,20.9796,-4.359100000000001
0.34,0.9,1.0156,0.8700000000000001
4.08,1.99,18.6364,-4.0799
0.06,-0.54,-0.5364,6.3916
0.44,1.07,1.2636,0.4248999999999999
4.18,1.94,19.412399999999998,-4.1764
0.08,-1.46,-1.4536,11.8916
3.89,1.99,17.1221,-3.8899
4.68,2.06,23.962399999999995,-4.6764
0.13,-0.94,-0.9230999999999999,8.513599999999999
3.28,1.94,12.698399999999998,-3.2763999999999998
0.14,0.76,0.7796,1.3976000000000002
1.05,1.62,2.7225,-0.9056000000000002
3.11,1.92,11.592099999999999,-3.1035999999999997
0.28,1.54,1.6184,-0.06840000000000007
3.2,1.85,12.090000000000002,-3.1775
4.12,1.9,18.874399999999998,-4.11
0.19,0.05,0.08610000000000001,3.6125
0.56,1.08,1.3936000000000002,0.28639999999999977
0.16,0.86,0.8855999999999999,1.1396000000000004
-0.03,-2.76,-2.7590999999999997,22.6876
0.42,1.31,1.4864,0.05609999999999993
5.68,2.12,34.3824,-5.6655999999999995
0.11,-2.93,-2.9179000000000004,24.194899999999997
0.01,-2.29,-2.2899,18.394099999999998
3.36,1.87,13.159599999999998,-3.3430999999999997
4.16,1.96,19.265600000000003,-4.1584
3.22,1.97,12.338400000000002,-3.2191
2.29,1.8,7.0441,-2.25
0.15,0.81,0.8325,1.2661
3.36,1.88,13.169599999999999,-3.3455999999999997
0.01,-2.29,-2.2899,18.394099999999998
3.22,1.9,12.268400000000002,-3.21
1.56,1.95,4.3836,-1.5575
4.18,1.86,19.332399999999996,-4.1604
3.11,1.92,11.592099999999999,-3.1035999999999997
