num of runs,input 1,input 2,Objective
0,-1.02,-7.93,"[-6.8896, 99.6249]"
0,7.38,2.41,"[56.874399999999994, -7.2119]"
0,0.33,0.73,"[0.8389, 1.2829]"
0,5.94,2.01,"[37.293600000000005, -5.939900000000001]"
0,9.86,0.85,"[98.06959999999998, -8.5375]"
0,3.08,1.83,"[11.3164, -3.0511]"
0,-0.03,-8.35,"[-8.3491, 107.15249999999999]"
0,-0.32,1.15,"[1.2524, 1.0425000000000002]"
0,8.57,1.06,"[74.5049, -7.686400000000001]"
0,0.46,-8.2,"[-7.9883999999999995, 103.58]"
0,4.22,1.98,"[19.7884, -4.2196]"
0,1.84,2.76,"[6.1456, -1.2624000000000004]"
0,0.03,-4.47,"[-4.4691, 41.83089999999999]"
0,-0.83,-7.22,"[-6.5310999999999995, 85.83839999999998]"
0,0.36,-5.58,"[-5.4504, 57.0964]"
0,-0.25,-1.86,"[-1.7975, 15.149600000000003]"
0,-0.27,-2.5,"[-2.4271, 20.52]"
0,6.91,2.64,"[50.3881, -6.5004]"
0,1.03,2.73,"[3.7908999999999997, -0.4971000000000001]"
0,2.9,0.99,"[9.4, -1.8799]"
0,-0.3,1.05,"[1.1400000000000001, 1.2025]"
0,0.21,-0.71,"[-0.6658999999999999, 7.1341]"
0,-0.12,-0.17,"[-0.15560000000000002, 4.8289]"
0,0.16,2.62,"[2.6456, 0.22440000000000013]"
0,-0.02,-1.68,"[-1.6796, 13.562399999999997]"
0,-0.02,1.52,"[1.5204, 0.2504]"
0,8.11,3.24,"[69.01209999999999, -6.572399999999999]"
0,6.77,1.03,"[46.862899999999996, -5.8290999999999995]"
0,6.53,3.24,"[45.880900000000004, -4.9924]"
0,3.75,1.09,"[15.1525, -2.9219]"
0,4.68,2.82,"[24.722399999999997, -4.0076]"
0,-0.86,-4.75,"[-4.0104, 46.4225]"
0,0.55,-5.74,"[-5.4375, 59.357600000000005]"
0,1.68,-4.86,"[-2.0376000000000007, 45.3796]"
0,-1.58,-4.3,"[-1.8035999999999994, 41.269999999999996]"
0,8.12,0.63,"[66.56439999999998, -6.243099999999999]"
0,1.06,2.76,"[3.8836, -0.4824000000000004]"
0,-0.56,0.97,"[1.2836, 1.6209]"
0,-0.97,-1.27,"[-0.32910000000000006, 11.6629]"
0,1.37,-0.76,"[1.1169000000000002, 6.2475999999999985]"
0,1.19,-3.09,"[-1.6739, 24.718099999999996]"
0,-1.01,-2.6,"[-1.5799, 22.169999999999998]"
0,-0.81,1.2,"[1.8561, 1.4500000000000002]"
0,9.46,0.23,"[89.72160000000002, -6.327100000000001]"
0,4.22,0.7,"[18.508399999999998, -2.5299999999999994]"
0,7.6,4.08,"[61.839999999999996, -3.273599999999999]"
